id,account_id,transaction_date,description,transaction_type,debit,credit,balance,currency,created_at
00e65b45-c37b-4d7a-ba7b-6528e63a2b19,86e12c3f-5928-4d72-8270-0f65fe9437f1,2023-04-01,Non-Brokered Private Security Purchase,Purchase,175.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
026c6a30-b404-4504-af4f-baa1f8b79525,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
041bc553-967d-4c71-978d-e5f9464ad278,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
062b0627-969a-485c-a76d-f2afdecbcbf8,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-01-01,HST on Annual Administration Fee (Fee),Fee,19.50,0.00,,CAD,2025-12-02 20:40:36.904713+00
06bb9d69-6826-4cf8-a70e-ebfa7de3fdfc,86e12c3f-5928-4d72-8270-0f65fe9437f1,2023-04-01,Contribution In-Kind,Other,125.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
06c83b7d-69cc-4593-a1d1-f4d8c05474d0,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-04-01,Contribution In-Kind,Other,125.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
093019d9-a8ac-4d37-aa6b-d34d6d794e91,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-04-13,HST on Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
16c7312b-a296-49ad-b550-d0ecac364745,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-01-01,Annual Administration Fee (Fee),Fee,150.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
181c536b-af0a-4bf0-8ba3-4323e489f8db,031afca7-0ec1-463a-85a3-25f5478b067c,2019-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
18d89341-4e2d-450d-ab05-014092c39b76,86e12c3f-5928-4d72-8270-0f65fe9437f1,2022-01-01,HST on Annual Administration Fee (Fee),Fee,9.75,0.00,,CAD,2025-12-02 21:12:29.297813+00
18dfa7b0-c05a-47ba-beff-24c3e1e1ade8,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2024-01-01,Annual Administration Fee (Fee),Fee,150.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
19f8d121-6d79-4893-aaa2-236c21914525,031afca7-0ec1-463a-85a3-25f5478b067c,2019-05-10,Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
1a296835-c098-4c2d-a9b7-b2bc2bb31165,86e12c3f-5928-4d72-8270-0f65fe9437f1,2020-02-24,HST on Administration Fee (Fee),Fee,9.75,0.00,,CAD,2025-12-02 21:12:29.297813+00
1d8af273-1335-4ae1-9e52-6a801e38c3a4,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-01-01,HST on Annual Administration Fee (Fee),Fee,19.50,0.00,,CAD,2025-12-02 20:40:36.904713+00
1feba55b-7a1e-4a54-9a69-33cc323c66ed,031afca7-0ec1-463a-85a3-25f5478b067c,2023-04-01,Contribution In-Kind,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
1ff9f012-c274-4b4d-af0a-d9d6a9b459b0,86e12c3f-5928-4d72-8270-0f65fe9437f1,2024-01-01,HST on Annual Administration Fee (Fee),Fee,9.75,0.00,,CAD,2025-12-02 21:12:29.297813+00
22f16de6-10e8-4f40-a5cf-01ca6cca83bb,031afca7-0ec1-463a-85a3-25f5478b067c,2021-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
2597cb62-f563-4338-96ae-923cc7fb3684,86e12c3f-5928-4d72-8270-0f65fe9437f1,2021-01-01,Annual Administration Fee (Fee),Fee,75.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
344eecec-2d3c-4e1b-9a6b-dd80d0312195,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-04-01,Exempt Market Security (EMS) Purchase,Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
36e745ea-c670-49ff-8cc2-f7f82f5de19b,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2022-01-01,HST on Annual Administration Fee (Fee),Fee,22.75,0.00,,CAD,2025-12-02 20:40:36.904713+00
373fd437-7344-43ca-abdd-347c65393e37,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-03-13,Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
3a2eb12c-2334-4018-8012-8109ad0f0754,031afca7-0ec1-463a-85a3-25f5478b067c,2021-01-04,Fees Paid by EFT,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
3ac18c1c-d411-4423-b786-9d210e005d3d,031afca7-0ec1-463a-85a3-25f5478b067c,2022-02-15,Fees Paid by EFT,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
3b8ed828-f54c-4218-826d-ddda6e888d8a,031afca7-0ec1-463a-85a3-25f5478b067c,2018-04-04,Fees Paid by EFT,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
3c09ba1e-f719-47f0-b69c-86733e8b00ac,86e12c3f-5928-4d72-8270-0f65fe9437f1,2020-04-13,Security Purchase (Fee),Fee,75.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
3e536b8b-3f9d-4472-a953-644fd6a9963b,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-04-01,Exempt Market Security (EMS) Purchase,Purchase,100.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
40b86313-4bc4-4d27-b8f4-1afb89f552e9,031afca7-0ec1-463a-85a3-25f5478b067c,2020-01-03,Fees Paid by EFT,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
459af461-955f-4810-8d73-233b66c33a90,031afca7-0ec1-463a-85a3-25f5478b067c,2024-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
4a059743-0fce-4157-be98-f0748ff86e44,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-04-13,HST on Security Purchase (Fee),Fee,9.75,0.00,,CAD,2025-12-02 20:40:36.904713+00
53bcc6bb-8c00-40a8-bfbc-6d9a77b4093e,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-03-13,Administration Fee (Fee),Fee,150.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
559f5650-b7ef-4db1-989d-93b329ca7801,031afca7-0ec1-463a-85a3-25f5478b067c,2023-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
5677b851-f409-47c2-8c43-26a9cbeecb09,86e12c3f-5928-4d72-8270-0f65fe9437f1,2023-01-01,HST on Annual Administration Fee (Fee),Fee,9.75,0.00,,CAD,2025-12-02 21:12:29.297813+00
57d9b517-4597-4f59-9bf9-13d72078d23c,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-04-01,Contribution In-Kind,Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
6164cf53-df42-4c84-afd0-3b96f5038cc1,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-05-10,HST on Security Purchase (Fee),Fee,9.75,0.00,,CAD,2025-12-02 20:40:36.904713+00
622f2a81-4f34-40f3-854d-47e0808f6be2,031afca7-0ec1-463a-85a3-25f5478b067c,2023-04-01,Purchase,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
65c83dc9-6ffb-4b9b-996c-132da14d9fff,031afca7-0ec1-463a-85a3-25f5478b067c,2018-04-05,Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
6a5e7b5a-7b75-4eb6-b679-346ff07287e5,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2021-01-01,HST on Annual Administration Fee (Fee),Fee,19.50,0.00,,CAD,2025-12-02 20:40:36.904713+00
6d1802b8-e917-44c8-9323-beedb6d494b4,031afca7-0ec1-463a-85a3-25f5478b067c,2019-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
