id,account_id,transaction_date,symbol,security_name,transaction_type,units,price,amount,fees,currency,description,created_at
0031a9dd-7333-4be4-8a43-29c4a1616564,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-06-15,,CENTURION APARTMENT REAL ESTATE INVESTMENT TRUST CLASS A TRUST UNITS,Other,,22.7900,124.78,0.00,CAD,CENTURION APARTMENT REAL ESTATE INVESTMENT TRUST CLASS A TRUST UNITS,2025-12-02 20:17:50.551264+00
00dbd22c-2d28-4d23-83fe-61c990bc0828,4362d516-59eb-459c-be64-fe2785cf5b26,2023-07-01,,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,Other,,22.5000,148.03,0.00,CAD,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,2025-12-02 17:01:25.342037+00
0159bdf1-62a3-4af2-9e2e-3b59fed2bf8a,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2021-07-05,,Distribution; SKYLINE COMMERCIAL REAL ESTATE INVESTMENT TRUST TRUST UNITS,Other,,16.5000,78.18,0.00,CAD,Distribution; SKYLINE COMMERCIAL REAL ESTATE INVESTMENT TRUST TRUST UNITS,2025-12-02 20:40:36.616749+00
01786e52-35c5-48aa-be44-d2714e43fed2,4362d516-59eb-459c-be64-fe2785cf5b26,2023-02-01,,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,Other,,22.5000,135.18,0.00,CAD,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,2025-12-02 17:01:25.342037+00
01c9d6f7-9098-4756-9ece-4a5d985829fc,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2025-09-05,,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,Other,,22.7500,109.36,0.00,CAD,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,2025-12-02 20:57:03.537202+00
02a165f0-8980-4e50-8735-bb99e6e7dffc,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2022-07-01,,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,Other,,20.0000,82.76,0.00,CAD,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,2025-12-02 20:17:50.551264+00
030fc7d0-f75b-4d2b-a142-79fe8e902a20,86e12c3f-5928-4d72-8270-0f65fe9437f1,2024-09-01,,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,Other,,22.7500,403.13,0.00,CAD,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,2025-12-02 21:12:28.511774+00
032fe297-f183-4e00-95bb-d8ee7ddc3196,86e12c3f-5928-4d72-8270-0f65fe9437f1,2023-03-01,,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,Other,,22.5000,373.91,0.00,CAD,Distribution; SKYLINE INDUSTRIAL REIT CLASS A TRUST UNITS,2025-12-02 21:12:28.511774+00
036dafde-b253-4e29-b5d6-6d5bad008fab,031afca7-0ec1-463a-85a3-25f5478b067c,2018-03-29,,Transfer-In: NATIONAL BANK INVESTMENTS,Transfer In,,,25015.07,0.00,CAD,Transfer-In: NATIONAL BANK INVESTMENTS,2025-11-29 05:19:48.585517+00
03b5090d-2507-4349-b66c-f9eb7a80cfa2,031afca7-0ec1-463a-85a3-25f5478b067c,2020-12-13,,Distribution,Other,,18.9500,181.87,0.00,CAD,Distribution,2025-11-29 05:19:48.585517+00
