id,normalized_name,category_id,aliases,inserted_at,user_id,is_big_box_store,updated_at
02d87b78-bec7-4a1f-a7b6-58c7b643fef1,LOCInterestRequest,,"[""Line of credit management fees"",""Interest to be paid""]",2025-12-04 21:16:26.057462+00,,false,2025-12-04 21:22:14.826194+00
059b3b5f-9650-4ec3-a414-e473046e2afd,Fortinos,,"[""FORTINOS (BRISDALE 202""]",2025-12-03 21:29:00.536861+00,,false,2025-12-03 21:29:00.536861+00
0742f60f-7e1a-4a1b-90b3-2d88dea771c5,CashWithdrawl,,"[""9505 MISSISSAU"",""SB""]",2025-12-04 16:27:12.787278+00,,false,2025-12-04 16:32:06.593272+00
0b4b7e82-72b8-4da8-a811-f26a96cae0c4,Delta,,"[""DELTA 000642440030875""]",2025-12-04 10:20:55.704899+00,,false,2025-12-04 10:20:55.704899+00
12776d89-bef4-49f3-ab33-cdb6828fe543,Costco Wholesale,56cd263b-b837-4751-ae52-1687de474e43,"[""Costco""]",2025-11-14 15:13:52.79987+00,,false,2025-11-25 19:20:58.875023+00
145853d7-c74d-4405-a483-4797923f08f5,RESP,,"[""EMBARK REP/REE""]",2025-12-04 15:40:13.359983+00,,false,2025-12-04 15:40:13.359983+00
173b664e-fb27-420a-805c-c4aedd89590b,Baskin Robbins,650dbcbc-a21c-42df-a37b-45095d130cc3,"[""BASKIN ROBBINS 365404""]",2025-11-21 19:49:54.526382+00,,false,2025-11-25 19:08:25.480298+00
19a9018d-6d01-4f88-9acc-5d7c79ad8260,Canadian Tire,56cd263b-b837-4751-ae52-1687de474e43,"[""CANADIAN TIRE #010""]",2025-11-21 19:43:45.91439+00,,false,2025-11-25 19:08:25.480298+00
1af432d6-6741-4151-a567-f00fc0f1e9c4,Sleep Country,288e2bb9-cf33-41b2-a130-5f919c17000b,"[""Sleep Country""]",2025-11-14 15:13:52.79987+00,,false,2025-11-25 16:18:47.424426+00
1b0b9842-c3a1-430d-af84-d5173f4a035d,Quizlet.com,f45e6c75-e3da-4a41-bb8c-375f2e32e7e6,"[""Quizlet.com""]",2025-11-21 19:44:52.82745+00,,false,2025-11-25 16:18:47.424426+00
2570c432-07b6-4080-b612-a924f9f9f312,Costco Wholesale,56cd263b-b837-4751-ae52-1687de474e43,"[""WWW COSTCO CA""]",2025-11-21 19:20:08.932387+00,,false,2025-11-25 19:21:11.409291+00
2c11c910-094b-4bf8-9a4d-e8b63a5030fe,Bombay To Go,288e2bb9-cf33-41b2-a130-5f919c17000b,"[""BOMBAY TO GO""]",2025-11-21 19:49:41.616744+00,,false,2025-11-25 19:08:25.480298+00
2cbe5a62-5672-4531-925a-81bcca3e92cb,MBNA,,"[""MBNA MASTERCARD""]",2025-12-04 15:36:32.41257+00,,false,2025-12-04 15:36:32.41257+00
2d8237f5-e44f-4fd1-9128-cfa6fe4bc3df,Temu.com,288e2bb9-cf33-41b2-a130-5f919c17000b,"[""TEMU.COM""]",2025-11-21 19:20:44.435533+00,,false,2025-11-25 19:08:25.480298+00
2fd43a31-8f0c-41d0-a1d6-30376a678c61,Booking.com,26be15d8-6ed0-4769-a600-ba6f14ab09b2,"[""Flights on Booking.com""]",2025-11-21 19:51:06.13544+00,,false,2025-11-25 19:21:22.10737+00
32600550-87bc-4910-821d-f72ee79b1626,Michaels,,"[""MICHAELS #4922""]",2025-12-04 10:02:41.459394+00,,false,2025-12-04 10:02:41.459394+00
33aeb6d5-4698-4d00-a373-da555e8565e7,Tim Hortons,650dbcbc-a21c-42df-a37b-45095d130cc3,"[""Tim Hortons""]",2025-11-14 15:13:52.79987+00,,false,2025-11-25 16:18:47.424426+00
3554005a-1902-4c32-96b1-9bdb69a89a08,PUSDToChecking,,"[""USD TFR 3369-4787-644 AT 1.3658 HC $0.00 $2,000.00""]",2025-12-04 16:04:43.194829+00,,false,2025-12-04 16:04:43.194829+00
37cba92c-22e7-4d46-8a3d-0650f61c2ddc,Rona,,"[""RONA+ S. BRAMPTON 8263""]",2025-12-04 10:02:58.987683+00,,false,2025-12-04 10:02:58.987683+00
38d9564f-faf5-47ae-a2fa-804e02eb3dcb,Bell Phone,,"[""BELL MOBILITY""]",2025-12-04 10:52:58.776097+00,,false,2025-12-04 10:52:58.776097+00
3af6a4a9-4794-493f-8e03-ce944b02a9fd,Tim Hortons,650dbcbc-a21c-42df-a37b-45095d130cc3,"[""TIM HORTONS #103982""]",2025-11-21 19:50:50.206463+00,,false,2025-11-25 19:08:25.480298+00
3b82f026-72ff-46d2-8cfe-d76bcf808267,Mortgage,,"[""Mortgage loan payment""]",2025-12-04 21:09:06.817042+00,,false,2025-12-04 21:09:06.817042+00
3d1212a6-bb07-46ca-bd2d-20f043d136ba,Iffsa Toronto,e3fed3f5-5b6a-4ee0-b9e1-cb832da049de,"[""IFFSA TORONTO""]",2025-11-21 19:48:47.619894+00,,false,2025-11-25 19:08:25.480298+00
40c0aa84-3934-4894-9fea-37a28fec97cc,Costco Wholesale,56cd263b-b837-4751-ae52-1687de474e43,"[""COSTCO WHOLESALE W526""]",2025-11-14 18:50:53.128662+00,,false,2025-11-25 19:08:25.480298+00
41b2b9a8-79dc-4425-9eb6-cbb905167b1a,LOCInterest,,"[""NBC/LINE OF CR LNS/PRE""]",2025-12-04 15:39:00.482527+00,,false,2025-12-04 15:39:00.482527+00
4466a4fb-2167-4225-954a-39966a5c40ee,Tim Hortons,650dbcbc-a21c-42df-a37b-45095d130cc3,"[""TIM HORTONS #1666""]",2025-11-21 19:49:19.557328+00,,false,2025-11-25 19:08:25.480298+00
4a4784a5-8bc5-4011-a967-e3887a7447a8,McDonald,,"[""MCDONALD'S #40397""]",2025-12-03 20:24:07.347284+00,,false,2025-12-03 20:24:07.347284+00
