id,transaction_id,category_id,amount,percentage,belief_tag,chart_of_account_id,inserted_at,description,user_id
0133265c-0deb-4c96-9e48-cad08f3b66a4,12b99fa9-6b91-4528-9233-be1a2b748c20,,17.99,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:50.594004+00,,d293575a-98b3-4287-b308-01a4f6299080
01671dd6-16ee-4860-9022-fa326bb0bf7c,cd75d9ae-91c8-45a6-8a49-78a101392681,,34.02,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:33.813603+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
01c2b7e4-4b43-42ff-9e59-08140c8aa07e,b3f0d5bc-8bca-4213-87ff-47c22939ff8b,,22.37,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:27.467385+00,,d293575a-98b3-4287-b308-01a4f6299080
023af478-abb0-4da9-87ce-6e3019333022,e8e65946-d21b-40a8-bc1b-65e44b5250fe,,16.47,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-03 20:51:54.34637+00,household items,d293575a-98b3-4287-b308-01a4f6299080
02646626-6772-42c4-9f25-c84a503ee002,8e204a6d-9563-4fc3-ba3d-e32ba895a1d4,,9.87,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:40.09461+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
028d92a5-fd20-44dd-9a15-a4c19d2e266f,66241476-fb8a-4a67-9cea-e31cffae74d4,,12.43,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:23.694726+00,,d293575a-98b3-4287-b308-01a4f6299080
03a1b117-5ce4-4b4b-a62a-2e24c79f09db,1efb40dd-7c82-47c5-99df-663eb7012687,,63.80,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:12.589048+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
054da2cc-a62a-4a93-8b45-efd13c2b124a,ced4bedd-8b01-4d7b-b0ec-c9a3e15bb0af,,86.70,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:34.269892+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
06a60a28-d8b1-44e4-bf9f-614d68010e05,65d7bdc4-c9ee-4c84-99da-1b6c9332e5f4,,16.17,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-04 14:26:02.291023+00,,d293575a-98b3-4287-b308-01a4f6299080
07c03688-02f6-4921-9e2d-6be705911fa4,b5fe4e8a-b8b6-4235-99b9-41c3ca3f80a0,,5.65,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:09.979666+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
090c170e-72eb-4793-a959-b458bb176705,070452fc-5213-4cab-b711-89a606e5a938,,0.37,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:33.449487+00,,d293575a-98b3-4287-b308-01a4f6299080
0c02c989-4eec-4eea-a4bc-717e67b98313,3bd6f830-54af-49e1-9646-c8634bcf8ff0,,2.94,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:51:32.487069+00,,d293575a-98b3-4287-b308-01a4f6299080
0d193f96-9bd6-4881-8cee-1837e7d8776b,5847e424-79a0-44a1-b333-ddf38d7d396f,,39.55,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:34.394767+00,,d293575a-98b3-4287-b308-01a4f6299080
0dddd7af-55e2-4b97-9101-28bd84ce7079,223cb50a-c53c-4b53-9ad3-532ae2592e14,,54.95,50.00,,cd2129d9-2a16-452e-b3f5-e295c1a4c601,2025-12-03 20:52:42.102177+00,,d293575a-98b3-4287-b308-01a4f6299080
0e8b1f06-2c39-4e10-8e54-f1826caa5268,8ec5dfce-1328-4c38-a307-3bf8d1e67066,,41.96,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:10.497538+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
0eb07b12-5960-47f2-b754-42efc8d5259a,98c4aec6-35b7-4259-99b5-fa2cdeb2dacd,,8.02,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:36.357996+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
